SpecimenID,Species,SamplingCategory,YearSampled,State,SiteInfo,lat,lon,Sp,Species_samplingcategory
592,Blackpoll Warbler,contemporary,2008,New York,Greene County - Catskills,42.271,-74.212,BLPW,BLPW_contemporary
598,Blackpoll Warbler,contemporary,2008,New York,Keene - Adirondack Area,44.255,-73.792,BLPW,BLPW_contemporary
611,Black-throated Blue Warbler,historic,1908,North Carolina,?,35.061,-83.451,BTBW,BTBW_historic
612,Black-throated Blue Warbler,historic,1908,North Carolina,?,35.061,-83.451,BTBW,BTBW_historic
613,Black-throated Blue Warbler,historic,1908,North Carolina,?,35.061,-83.451,BTBW,BTBW_historic
615,Black-throated Blue Warbler,historic,1907,North Carolina,?,35.061,-83.451,BTBW,BTBW_historic
616,Black-throated Blue Warbler,historic,1908,North Carolina,?,35.061,-83.451,BTBW,BTBW_historic
623,Black-throated Blue Warbler,historic,1907,North Carolina,?,35.061,-83.451,BTBW,BTBW_historic
624,Black-throated Blue Warbler,historic,1941,North Carolina,?,35.061,-83.451,BTBW,BTBW_historic
626,Black-throated Blue Warbler,historic,1916,North Carolina,?,35.061,-83.451,BTBW,BTBW_historic
806,Blackpoll Warbler,contemporary,2000,Quebec,"Mine Madeleine, Gaspesie",48.971,-66.005,BLPW,BLPW_contemporary
8064,Prairie Warbler,historic,1914,Arkansas,Winslow,35.802,-94.127,PRAW,PRAW_historic
8065,Prairie Warbler,historic,1914,Arkansas,Winslow,35.802,-94.127,PRAW,PRAW_historic
807,Blackpoll Warbler,contemporary,2000,Quebec,"Mine Madeleine, Gaspesie",48.971,-66.005,BLPW,BLPW_contemporary
808,Blackpoll Warbler,contemporary,2000,Quebec,"Mine Madeleine, Gaspesie",48.971,-66.005,BLPW,BLPW_contemporary
809,Blackpoll Warbler,contemporary,2000,Quebec,"Mine Madeleine, Gaspesie",48.971,-66.005,BLPW,BLPW_contemporary
810,Blackpoll Warbler,contemporary,2000,Quebec,"Mine Madeleine, Gaspesie",48.971,-66.005,BLPW,BLPW_contemporary
811,Blackpoll Warbler,contemporary,2000,Quebec,"Mine Madeleine, Gaspesie",48.971,-66.005,BLPW,BLPW_contemporary
